City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
312,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,70,67,3.67
313,Hami,CN,42.8,93.45,92.95,30,100,18.07
314,Villa Carlos Paz,AR,-31.4241,-64.4978,58.12,46,12,4.72
315,Dovolnoye,RU,54.4958,79.6671,76.75,60,67,5.14
316,Hervey Bay,AU,-25.2986,152.8535,69.04,87,67,5.01
317,Sakakah,SA,29.9697,40.2064,103.57,14,0,15.23
318,Bokovskaya,RU,49.229,41.8306,82.71,27,46,12.75
319,Camapua,BR,-19.5314,-54.0439,73.56,33,0,7.47
320,Port Macquarie,AU,-31.4333,152.9167,48.16,87,76,8.3
321,Bubaque,GW,11.2833,-15.8333,80.06,82,71,8.97
322,Fare,PF,-16.7,-151.0167,77.36,67,46,15.64
323,Haines Junction,CA,60.7522,-137.5108,35.55,93,25,2.3
324,Coihaique,CL,-45.5752,-72.0662,37.35,75,40,9.22
325,Hasaki,JP,35.7333,140.8333,77.29,83,30,8.08
326,Guerrero Negro,MX,27.9769,-114.0611,68.99,84,4,5.53
327,Mahdasht,IR,35.7299,50.8111,103.86,12,0,18.41
328,Mandapam,IN,9.2833,79.1167,86.31,69,99,29.55
329,Nakambala,ZM,-15.8324,27.7799,79.41,25,72,10.18
330,La Ronge,CA,55.1001,-105.2842,52.05,82,20,9.22
331,Komsomolskiy,UZ,40.4272,71.7189,99.32,14,1,2.3
332,Thap Than,TH,15.4606,99.8917,79.16,81,100,2.82
333,Shenjiamen,CN,29.9576,122.298,78.42,85,100,26.84
334,Sterling,US,39.0062,-77.4286,70.27,81,90,1.01
335,Nador,MA,35.174,-2.9287,93.27,65,20,6.91
336,Bouar,CF,5.934,15.596,78.4,63,95,6.42
337,Sao Filipe,CV,14.8961,-24.4956,73.38,77,18,8.48
338,Hobyo,SO,5.3505,48.5268,80.6,67,95,34.14
339,Acoyapa,NI,11.9703,-85.1711,75.92,85,97,15.7
340,Savannah Bight,HN,16.45,-85.85,82.0,76,100,7.76
341,Jiuquan,CN,39.7432,98.5174,96.85,17,5,11.97
342,Kudahuvadhoo,MV,2.6708,72.8944,81.99,76,94,9.69
343,Inhambane,MZ,-23.865,35.3833,69.78,60,75,16.11
344,Nyurba,RU,63.2842,118.3319,61.95,87,100,5.06
345,Ambatondrazaka,MG,-17.8333,48.4167,70.21,53,78,7.78
346,Flinders,AU,-34.5833,150.8552,55.2,87,97,1.01
347,Novoasbest,RU,57.7422,60.2877,71.64,45,100,3.85
348,Matamoros,MX,25.5333,-103.25,68.11,75,96,1.97
349,Vila Nova De Milfontes,PT,37.7238,-8.7828,68.25,52,68,14.43
350,Kirksville,US,40.1948,-92.5833,71.55,88,1,3.44
351,Keningau,MY,5.3378,116.1602,82.85,93,98,2.28
352,Mehamn,NO,71.0357,27.8492,46.26,86,100,26.49
353,Catamarca,AR,-28.4696,-65.7852,59.67,37,0,0.78
354,San Luis Rio Colorado,MX,32.4631,-114.7767,90.9,57,97,9.57
355,Umm Lajj,SA,25.0213,37.2685,90.59,53,5,12.19
356,Fillan,NO,63.6064,8.9696,58.44,76,67,8.12
357,Rabat,MA,33.9911,-6.8401,83.61,77,20,10.36
358,Christchurch,NZ,-43.5333,172.6333,47.91,89,1,5.99
359,Quatre Cocos,MU,-20.2078,57.7625,75.31,67,10,14.41
360,Zhoucheng,CN,35.9122,116.3117,79.41,81,100,3.49
361,Lavrentiya,RU,65.5833,-171.0,42.01,84,100,4.03
362,Tikrit,IQ,34.6071,43.6782,112.15,11,0,12.53
363,Katangli,RU,51.7102,143.2326,61.14,96,38,5.68
364,Beian,NO,63.6559,9.5683,63.55,67,20,6.91
365,Udachnyy,RU,66.4167,112.4,71.01,40,85,6.35
366,Naze,JP,28.3667,129.4833,77.79,91,100,28.21
367,Faanui,PF,-16.4833,-151.75,77.94,66,92,17.0
368,Maryville,US,35.7565,-83.9705,71.85,90,20,0.0
369,Tahta,EG,26.7693,31.5021,100.71,16,0,17.6
370,Adrar,MR,20.5022,-10.0711,102.47,15,1,8.61
371,Hamilton,US,39.1834,-84.5333,68.38,93,1,3.44
372,Terney,RU,45.0503,136.6092,74.23,89,98,1.61
373,Merauke,ID,-8.4667,140.3333,76.64,79,16,12.53
374,Severnoye,RU,56.3491,78.3619,80.29,56,12,3.6
375,Madang,PG,-5.2246,145.7966,77.36,92,99,1.43
376,Jalu,LY,29.0331,21.5482,95.34,30,4,10.0
377,Inta,RU,66.0317,60.1659,64.54,38,64,8.88
378,Plattsburgh,US,44.6995,-73.4529,66.52,72,20,4.61
379,Margate,GB,51.3813,1.3862,72.32,68,67,4.0
380,Norman Wells,CA,65.282,-126.8329,57.24,88,90,14.97
381,Trelew,AR,-43.249,-65.3051,45.48,42,47,17.52
382,Songea,TZ,-10.6833,35.65,73.38,38,82,4.81
383,Kavaratti,IN,10.5669,72.642,82.11,83,100,20.07
384,Pilar,BR,-9.5972,-35.9567,78.73,82,47,11.88
385,Pacific Grove,US,36.6177,-121.9166,56.01,90,41,4.0
386,Kijang,KR,35.2442,129.2139,83.93,87,96,8.7
387,Berekum,GH,7.4534,-2.584,80.8,64,98,7.16
388,San Pedro,PH,14.35,121.0167,80.15,94,100,15.57
389,Howard Springs,AU,-12.497,131.047,76.82,90,6,5.64
390,Malinovoye Ozero,RU,51.6753,79.7825,70.99,82,79,13.94
391,Rafsanjan,IR,30.4067,55.9939,98.67,8,0,4.94
392,Port Lincoln,AU,-34.7333,135.8667,54.43,80,97,22.95
393,Arganil,PT,40.2183,-8.054,83.61,40,99,7.16
394,Shimoda,JP,34.6667,138.95,75.11,84,67,3.89
395,Takestan,IR,36.0696,49.6959,100.53,23,0,14.16
396,Radhanpur,IN,23.8333,71.6,95.79,44,90,7.78
397,Gamba,GA,-2.65,10.0,76.51,67,81,9.86
398,Andros Town,BS,24.7,-77.7667,82.08,70,98,10.04
399,Milkovo,RU,54.7167,158.6167,60.71,86,44,5.91
400,Buala,SB,-8.145,159.5921,79.93,85,12,6.76
401,Tocopilla,CL,-22.092,-70.1979,60.51,66,14,7.96
402,Kedrovyy,RU,56.1667,91.8167,75.61,51,30,8.48
403,Eydhafushi,MV,5.1033,73.0708,83.37,73,98,14.14
404,Saint-Francois,FR,46.4154,3.9054,86.47,51,0,9.22
405,Farafangana,MG,-22.8167,47.8333,73.33,74,10,8.75
406,Evensk,RU,61.95,159.2333,49.68,99,100,2.24
